"name","location"
"Aberdeen Railway Station","Aberdeen, United Kingdom"
"Abu Simbel","Abu Simbel, Egypt"
"Aggeneys","Aggeneys, South Africa"
"Akure","Akure, Nigeria"
"Akwa Ibom International Airport","Uyo, Nigeria"
"Alalamain Intl.","Dabaa City, Egypt"
"Aldergrove","Belfast, United Kingdom"
"Alexander Bay","Alexander Bay, South Africa"
"Alexandria Intl","Alexandria, Egypt"
"Amboseli Airport","Amboseli National Park, Kenya"
"Anglesey Airport","Angelsey, United Kingdom"
"Arua Airport","Arua, Uganda"
"Arusha","Arusha, Tanzania"
"Ashford","Lympne, United Kingdom"
"Aswan Intl","Aswan, Egypt"
"Asyut International Airport","Asyut, Egypt"
"Bakel","Bakel, Senegal"
"Bamburi","Bamburi, Kenya"
"Bangui M Poko","Bangui, Central African Republic"
"Barkston Heath","Barkston Heath, United Kingdom"
"Barra Airport","Barra, United Kingdom"
"Bembridge","Bembridge, United Kingdom"
"Benbecula","Benbecula, United Kingdom"
"Benin","Benin, Nigeria"
"Benson","Benson, United Kingdom"
"Berberati","Berberati, Central African Republic"
"Bethlehem","Bethlehem, South Africa"
"Bhisho","Bisho, South Africa"
"Biggin Hill","Biggin Hill, United Kingdom"
"Birmingham","Birmingham, United Kingdom"
"Blackbushe","Blackbushe, United Kingdom"
"Blackpool","Blackpool, United Kingdom"
"Bloemfontein Intl","Bloemfontein, South Africa"
"Booker","Wycombe, United Kingdom"
"Borg El Arab Intl","Alexandria, Egypt"
"Boscombe Down","Boscombe Down, United Kingdom"
"Bothaville","Bothaville, South Africa"
"Bournemouth","Bournemouth, United Kingdom"
"Brakpan","Brakpan, South Africa"
"Bristol Filton","Bristol, United Kingdom"
"Bristol","Bristol, United Kingdom"
"Brize Norton","Brize Norton, United Kingdom"
"Brough","Brough, United Kingdom"
"Bukoba Airport","Bukoba, Tanzania"
"Cairo Intl","Cairo, Egypt"
"Cairo West","Cairo, Egypt"
"Calabar","Calabar, Nigeria"
"Calvinia","Calvinia, South Africa"
"Cambridge","Cambridge, United Kingdom"
"Campbeltown Airport","Campbeltown, United Kingdom"
"Cap Skiring","Cap Skiring, Senegal"
"Cape Town Intl","Cape Town, South Africa"
"Cardiff","Cardiff, United Kingdom"
